region,district_ms,Class,Latitude,Longitude,Employed Population,Unemployed Population,Incidence of Poverty,Intensity of Poverty,Illiterate Population,Uninsured Population,Male Population 0-14,Female Population 0-14,Male Population 15-64,Female Population 15-64,Male Population 65+,Female Population 65+,Total Population,latitude,longitude,total_population,poverty_rate,intensity_poverty,uninsured_rate,illiteracy_rate,female_pop_prop,working_age_prop,abr,anc_skilled,decision_autonomy,demand_fp_satisfied,facility_delivery,ipv_12months,modern_cpr,no_insurance_women,no_postnatal_checkup,sba,tfr,unmet_need_fp,wife_beating_justified,women_anemia,women_edu_secondary,women_literacy,pnc_coverage,district,composite_maternal_index,composite_pca,risk_label,data_source_dhs,data_source_census,data_source_geojson
Ahafo,Asunafo North Municipal,Municipal,6.81509969999999,-2.67736640122449,51611,45446,26.1,42,39814,21534,27637,26564,46535,44897,2715,2910,151258,6.81509969999999,-2.67736640122449,151258,26.1,42.0,14.236602361527986,26.32191355167991,49.16830845310661,60.44771185656296,60.0,97.7,45.2,52.9,92.2,38.5,29.8,4.7,11.8,93.4,4.3,17.8,22.8,35.6,70.7,48.3,88.2,Asunafo North Municipal,73.66579084175778,80.17751633615464,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ahafo,Asunafo South,District,6.56280465,-2.53279356335542,32671,25169,26.2,42.7,26493,43550,17439,16414,27748,26493,1769,1830,91693,6.56280465,-2.53279356335542,91693,26.2,42.7,47.49544676256639,28.893154330210596,48.78998396824185,59.15500637998539,60.0,97.7,45.2,52.9,92.2,38.5,29.8,4.7,11.8,93.4,4.3,17.8,22.8,35.6,70.7,48.3,88.2,Asunafo South,65.98677162523927,71.74118119011389,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ahafo,Asutifi North,District,7.07651835,-2.52531850396715,24423,23087,26.6,43.1,18794,12723,13205,12841,23097,21584,1361,1468,73556,7.07651835,-2.52531850396715,73556,26.6,43.1,17.297025395616945,25.550600902713576,48.7968350644407,60.74419489912448,60.0,97.7,45.2,52.9,92.2,38.5,29.8,4.7,11.8,93.4,4.3,17.8,22.8,35.6,70.7,48.3,88.2,Asutifi North,73.10641376486053,79.54480097659913,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ahafo,Asutifi South,District,6.84924284999999,-2.46125343688365,21582,20836,23.2,42.4,19701,14593,12878,12038,20319,19574,1194,1331,67334,6.84924284999999,-2.46125343688365,67334,23.2,42.4,21.672557697448543,29.25862120177028,48.92476312115722,59.24644310452371,60.0,97.7,45.2,52.9,92.2,38.5,29.8,4.7,11.8,93.4,4.3,17.8,22.8,35.6,70.7,48.3,88.2,Asutifi South,72.01031050672952,78.517557086326,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ahafo,Tano North Municipal,Municipal,7.19329065,-2.2080833699397,31439,29602,21.6,42.3,22005,13235,16935,15862,27631,28903,1968,2539,93838,7.19329065,-2.2080833699397,93838,21.6,42.3,14.104094290159635,23.449988277670027,50.41028154905263,60.24638206270381,60.0,97.7,45.2,52.9,92.2,38.5,29.8,4.7,11.8,93.4,4.3,17.8,22.8,35.6,70.7,48.3,88.2,Tano North Municipal,75.46572619888471,82.48977078048537,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ahafo,Tano South Municipal,Municipal,7.16093674999999,-1.99681708617696,28999,26149,23.7,42.6,24275,17791,16367,15474,24906,26294,1636,2312,86989,7.16093674999999,-1.99681708617696,86989,23.7,42.6,20.452011173826577,27.90582717355068,50.67307360700778,58.85801653082574,60.0,97.7,45.2,52.9,92.2,38.5,29.8,4.7,11.8,93.4,4.3,17.8,22.8,35.6,70.7,48.3,88.2,Tano South Municipal,72.50096810510675,79.04107037262466,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Adansi Asokwa,District,6.2467263,-1.50841,23550,21838,32.4,43.3,20304,36029,13691,12765,20664,21335,1589,1800,71844,6.2467263,-1.50841,71844,32.4,43.3,50.14893380101331,28.261232670786708,49.969378096987924,58.45860475474639,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Adansi Asokwa,68.81663207093827,72.74666034352082,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Adansi North,District,6.3006124,-1.5897139446089,17411,18501,19.7,42.8,9833,14965,9247,8996,16537,16948,998,1429,54155,6.3006124,-1.5897139446089,54155,19.7,42.8,27.63364416951343,18.157141538177456,50.54565598744345,61.83177915243283,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Adansi North,79.06732225521085,84.95281360151928,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Adansi South,District,6.00427495,-1.39314032189093,29633,24270,35,43.2,23064,39272,16212,15085,24648,25348,1692,2215,85200,6.00427495,-1.39314032189093,85200,35.0,43.2,46.093896713615024,27.070422535211268,50.05633802816901,58.68075117370892,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Adansi South,69.38001216731104,73.20651835114893,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Afigya Kwabre North,District,7.03891495,-1.62667127242319,21350,22931,25.2,43.7,17584,22087,15067,13982,20273,21082,1268,1658,73330,7.03891495,-1.62667127242319,73330,25.2,43.7,30.120005454793397,23.979271785081142,50.07773080594572,56.395745261148235,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Afigya Kwabre North,75.78275869260456,80.90593431487733,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Afigya Kwabre South,District,6.83998064999999,-1.60957900170106,75019,72938,13,43.3,31504,58599,43742,42968,68528,72634,2797,3998,234667,6.83998064999999,-1.60957900170106,234667,13.0,43.3,24.97112930237315,13.424980930424816,50.9658366962547,60.15417591736375,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Afigya Kwabre South,82.38316744737558,89.09736801084857,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Ahafo Ano North Municipal,Municipal,6.90966445,-2.23301229669742,33407,25324,26.5,41.2,23108,28414,17581,16430,27329,27509,1843,2050,92742,6.90966445,-2.23301229669742,92742,26.5,41.2,30.63768303465528,24.91643484074098,49.588104634362,59.12962843156283,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Ahafo Ano North Municipal,75.13426819428582,80.0958823087495,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Ahafo Ano South East,District,6.94633355,-1.90095355028736,20560,17723,31.8,42.5,20459,20524,12966,12219,17786,17591,1319,1587,63468,6.94633355,-1.90095355028736,63468,31.8,42.5,32.337555933698866,32.235142118863045,49.469023760005044,55.739900422260035,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Ahafo Ano South East,71.67521959758413,75.84862236866047,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Ahafo Ano South West,District,6.8289788,-2.00038660056909,22860,18251,31.9,41.8,20670,24676,12766,11893,19422,18720,1453,1516,65770,6.8289788,-2.00038660056909,65770,31.9,41.8,37.518625513151896,31.427702599969592,48.85053975976889,57.993005929755206,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Ahafo Ano South West,70.77096430064346,74.86644272035954,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Akrofuom,District,6.03262245,-1.67136425707588,16119,15681,37,44.2,14804,21116,9048,8443,16194,13524,1073,1009,49291,6.03262245,-1.67136425707588,49291,37.0,44.2,42.83946359375951,30.033880424418253,46.61297194213954,60.290925321052526,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Akrofuom,68.84192571653878,72.43889991918455,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Amansie Central,District,6.20744165,-1.82814118592735,33580,27066,28.6,43.3,27396,31633,16778,15628,29576,26490,2039,2541,93052,6.20744165,-1.82814118592735,93052,28.6,43.3,33.994970554098785,29.441602544813655,47.993594979151446,60.25233202940291,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Amansie Central,72.78048564196399,77.31364596279406,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Amansie South,District,6.30802585,-2.01186652006877,41010,34389,30.3,44.4,34142,54471,19293,18463,38951,33050,1531,1867,113155,6.30802585,-2.01186652006877,113155,30.3,44.4,48.13839423799213,30.172771861605764,47.17423003844284,63.63041845256506,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Amansie South,69.22825919717705,73.3074508825393,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Amansie West,District,6.43975084999999,-1.85237045719587,34157,37321,31,44.7,30406,48450,20820,20329,35110,32074,1803,2491,112627,6.43975084999999,-1.85237045719587,112627,31.0,44.7,43.01810400703206,26.997078853205714,48.73964502295187,59.65177088975112,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Amansie West,70.96288782575284,75.20488123430103,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Asante Akim Central Municipal,Municipal,6.56465915,-1.25347851347396,29453,30820,16.9,42.6,15786,18044,15871,15529,27013,29228,1623,2409,91673,6.56465915,-1.25347851347396,91673,16.9,42.6,19.683003719743,17.219901170464585,51.4502634363444,61.349579483599314,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Asante Akim Central Municipal,81.6227306562528,87.94674781755276,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Asante Akim North Municipal,Municipal,6.906722,-0.958978,29855,26615,26,42.1,20318,28968,14574,14158,25316,26886,1799,2469,85202,6.906722,-0.958978,85202,26.0,42.1,33.99920189666909,23.846858054975232,51.07039740851154,61.26851482359569,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Asante Akim North Municipal,74.81775793616767,79.80008261397418,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Asante Akim South Municipal,Municipal,6.46141735,-1.11533920112058,43495,33950,24.6,42.2,31673,40319,23973,22215,34657,35653,3085,4050,123633,6.46141735,-1.11533920112058,123633,24.6,42.2,32.611843116320074,25.618564622714,50.08209782177897,56.86992954955392,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Asante Akim South Municipal,74.97387420436019,80.03700158326555,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Asokore Mampong Municipal,Municipal,6.7077852,-1.5665013,66200,62382,11.3,42.7,37038,38807,31486,31334,58782,62187,3238,4375,191402,6.7077852,-1.5665013,191402,11.3,42.7,20.275127741611897,19.35089497497414,51.146800973866526,63.20153394426391,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Asokore Mampong Municipal,82.23309864375211,88.95562843810293,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Asokwa Municipal,Municipal,6.6739843,-1.6026178,48298,38057,6.3,41.4,13484,17901,19479,19808,39593,41790,1928,3044,125642,6.6739843,-1.6026178,125642,6.3,41.4,14.247624202098025,10.732080036930327,51.44935610703427,64.77372216297098,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Asokwa Municipal,86.86841789567255,94.48806101207833,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Atwima Kwanwoma,District,6.65,-1.73333,74959,74937,13.8,43.3,31864,61419,42664,42286,68316,73750,3143,4687,234846,6.65,-1.73333,234846,13.8,43.3,26.15288316598963,13.568040332813844,51.40517615799289,60.493259412551204,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Atwima Kwanwoma,81.91436254432529,88.52938855413794,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Atwima Mponua,District,6.5558963,-2.17659077213842,54588,42035,25.1,42.4,45371,37467,30112,28519,47076,43265,3047,3235,155254,6.5558963,-2.17659077213842,155254,25.1,42.4,24.132711556546045,29.223723704381204,48.32017210506653,58.18916098780063,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Atwima Mponua,75.71296101882214,80.75530244291504,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Atwima Nwabiagya North,District,6.87764335,-1.74489585317473,48562,50393,13.5,43.1,24396,33196,28123,27947,46519,47225,2235,2976,155025,6.87764335,-1.74489585317473,155025,13.5,43.1,21.413320432188357,15.73681664247702,50.409933881632,60.47024673439768,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Atwima Nwabiagya North,82.42077673460682,89.06924513529361,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Atwima Nwabiagya South Municipal,Municipal,7.0689359,-2.0226618,54304,50942,12.5,43,22396,37941,28597,28050,47365,52189,2372,3320,161893,7.0689359,-2.0226618,161893,12.5,43.0,23.435849604368318,13.833828516365749,51.61372017320082,61.49370263074994,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Atwima Nwabiagya South Municipal,82.71527075221528,89.48737300413025,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Bekwai Municipal,Municipal,6.43631235,-1.59282285301503,44017,45866,19.4,43.6,24658,38214,24713,23371,38899,43202,3004,4778,137967,6.43631235,-1.59282285301503,137967,19.4,43.6,27.69792776533519,17.872389774366333,51.71599005559301,59.50770836504381,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Bekwai Municipal,79.19598766253047,85.11787827175404,LOW,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
Ashanti,Bosome Freho,District,6.3681227,-1.36632312680072,22887,15579,31.3,41,17772,30539,12446,11347,17554,17537,1427,1948,62259,6.3681227,-1.36632312680072,62259,31.3,41.0,49.05154274883953,28.545270563292053,49.52215743908511,56.36293547920782,62.0,100.0,55.2,52.4,92.4,24.1,26.9,7.5,12.1,93.6,3.5,14.2,16.0,37.5,79.8,61.5,87.9,Bosome Freho,69.22641098438002,73.26363410347545,MODERATE,Ghana DHS 2022 Subnational,Ghana GSS Census 2021,Ghana_New_260_District.geojson
