GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2003,2003,2003,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,46.3,46.3 [37.5-56.1],37.5,56.1
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2016,2016,2016,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,1.874162078,1.9,,
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2003,2003,2003,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,73.25455475,73.3,,
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2002,2002,2002,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,0.448340803,0.4,,
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2005,2005,2005,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,1.684257865,1.7,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2005,2005,2005,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,45.2,45.2 [36.1-55.3],36.1,55.3
MDG_0000000003,Adolescent birth rate (per 1000 women),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-birth-rate-%28per-1000-women-aged-15-19-years%29,2014,2014,2014,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,5.471557617,5.5,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2005,2005,2005,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,52.6,52.6 [45.6-60.2],45.6,60.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2012,2012,2012,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,40.7,40.7 [32.2-49.2],32.2,49.2
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2016,2016,2016,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,260.7,260.7 [229.7-296.6],229.7,296.6
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2009,2009,2009,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,258.6,258.6 [222.2-297.6],222.2,297.6
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2011,2011,2011,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,41.5,41.5 [32.8-50.4],32.8,50.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2012,2012,2012,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,41.3,41.3 [33.3-49.4],33.3,49.4
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2014,2014,2014,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,2808.0,2808.0 [2284.2-3341.8],2284.2,3341.8
SRHINSTITUTIONALBIRTH,Proportion of births delivered in a health facility (Facility births) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/institutional-births-%28-%29,2006,2004,2006,AFR,Africa,GHA,Ghana,,,,48.7,48.7,,
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2015,2015,2015,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,47.1,47.1 [41.4-53.7],41.4,53.7
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-women-of-reproductive-age-number-%28in-thousands%29,2011,2011,2011,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,2780.8,2780.8 [2224.9-3332.9],2224.9,3332.9
