district,bv_I,p_perm,bv_quadrant,significant
Asunafo North Municipal,-0.12652006206928493,0.474,HL,0
Asunafo South,-0.0033614699387987607,0.697,HL,0
Asutifi North,-0.25275458044273064,0.154,HL,0
Asutifi South,-0.03477697860629431,0.779,HL,0
Tano North Municipal,-0.17841606955328354,0.394,HL,0
Tano South Municipal,0.02843722974856494,0.885,HH,0
Adansi Asokwa,-0.010722078667959717,0.882,HL,0
Adansi North,-0.27794890425853913,0.368,HL,0
Adansi South,0.08735538611628428,0.383,HH,0
Afigya Kwabre North,-0.2791124634917052,0.35,HL,0
Afigya Kwabre South,-0.8003132639681179,0.023,HL,1
Ahafo Ano North Municipal,-0.09902433058910695,0.716,HL,0
Ahafo Ano South East,-0.1043318311400352,0.464,HL,0
Ahafo Ano South West,-0.03287865531165179,0.808,HL,0
Akrofuom,-0.03327645137768715,0.572,HL,0
Amansie Central,-0.08604622201975823,0.558,HL,0
Amansie South,-0.008843866675801233,0.918,HL,0
Amansie West,-0.13335400732913058,0.298,HL,0
Asante Akim Central Municipal,-0.3565052499488591,0.321,HL,0
Asante Akim North Municipal,-0.03644976431932839,0.884,HL,0
Asante Akim South Municipal,-0.03667785813167466,0.875,HL,0
Asokore Mampong Municipal,-1.1928510182015837,0.006,HL,1
Asokwa Municipal,-1.4649757263689915,0.011,HL,1
Atwima Kwanwoma,-0.6745935772075751,0.09,HL,0
Atwima Mponua,-0.010714339762219973,0.948,HL,0
Atwima Nwabiagya North,-0.6815054494357808,0.091,HL,0
Atwima Nwabiagya South Municipal,-0.6106242075111185,0.093,HL,0
Bekwai Municipal,-0.23703460909690138,0.447,HL,0
Bosome Freho,-0.08112326676444447,0.247,HL,0
Bosomtwi,-0.7571987749249048,0.027,HL,1
Ejisu Municipal,-0.7710067379211144,0.023,HL,1
Ejura Sekyedumase Municipal,-0.023197624183788925,0.85,HL,0
Juaben Municipal,-0.5540246549436408,0.06,HL,0
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",-1.456662756535857,0.001,HL,1
Kwabre East,-0.9200229873067601,0.019,HL,1
Kwadaso Municipal,-1.4364639541461015,0.005,HL,1
Mampong Municipal,0.011661416606093112,0.972,HH,0
Obuasi East,-0.18913132904821717,0.712,HL,0
Obuasi Municipal,-0.23268447557487693,0.658,HL,0
Offinso Municipal,-0.1614097836857355,0.489,HL,0
Offinso North,-0.1015711905350236,0.194,HL,0
Oforikrom Municipal,-1.2830560317749418,0.008,HL,1
Old Tafo Municipal,-1.2980248494531417,0.002,HL,1
Sekyere Afram Plains,-0.2003098682784295,0.377,LH,0
Sekyere Central,-0.002145156183546758,0.707,LH,0
Sekyere East,-0.3492619278481355,0.363,HL,0
Sekyere Kumawu,0.0938833006865354,0.709,HH,0
Sekyere South,-0.4250542954601413,0.088,HL,0
Suame Municipal,-1.2989285136224686,0.004,HL,1
Banda,-0.04887378264244685,0.633,HL,0
Berekum East Municipal,-0.8065167242782619,0.057,HL,0
Berekum West,-0.7758837046495777,0.073,HL,0
Dormaa Central Municipal,-0.40911430029707413,0.224,HL,0
Dormaa East,-0.6586948212424046,0.033,HL,1
Dormaa West,-0.11537892497404041,0.731,HL,0
Jaman North,-0.4211719535363424,0.369,HL,0
Jaman South,-0.8553607054180159,0.047,HL,1
Sunyani Municipal,-0.5025733317798636,0.36,HL,0
Sunyani West Municipal,-0.5272194065280407,0.077,HL,0
Tain,-0.26662585325730587,0.261,HL,0
Wenchi Municipal,-0.26090777493401796,0.231,HL,0
Atebubu Amantin Municipal,-0.08009861735402403,0.223,LH,0
Kintampo North Municipal,-0.10664240255895979,0.029,LH,1
Kintampo South,-0.005448059980165049,0.761,LH,0
Nkoranza North,-0.01624844858779829,0.347,HL,0
Nkoranza South Municipal,-0.07294750609896376,0.554,HL,0
Pru East,-0.21940940551462076,0.076,LH,0
Pru West,-0.08751165418181966,0.711,LH,0
Sene East,-0.8728434472508763,0.005,LH,1
Sene West,-0.22210365653304895,0.008,LH,1
Techiman Municipal,-0.18945296351668942,0.319,HL,0
Techiman North,-0.1561709860395488,0.353,HL,0
Abura Asebu Kwamankese,0.06176163495368911,0.668,LL,0
Agona East,0.29459889210399715,0.293,LL,0
Agona West Municipal,0.03803555194022302,0.664,LL,0
Ajumako Enyan Essiam,-0.012962409603823034,0.935,LH,0
Asikuma Odoben Brakwa,0.04016227709437727,0.791,LL,0
Assin Central Municipal,-0.0066603924418875615,0.689,LH,0
Assin North,-0.08092309203353512,0.72,LH,0
Assin South,-0.022065458098031152,0.874,LH,0
Awutu Senya West,0.4151509331479738,0.091,LL,0
Awutu Senya East Municipal,-0.03306109847062543,0.117,HL,0
Cape Coast Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,0.010531044734585177,0.921,HH,0
Effutu Municipal,0.07656733784353381,0.092,LL,0
Ekumfi,0.01616777568346857,0.973,LL,0
Gomoa Central,0.12161095421847205,0.437,LL,0
Gomoa East,0.053320510209028595,0.082,LL,0
Gomoa West,0.15253884899253325,0.524,LL,0
Komenda Edina Eguafo Abirem Municipal,0.04112533554211535,0.842,LL,0
Mfantsiman Municipal,-0.04622808082939022,0.764,LH,0
Twifo Ati Morkwa,-0.07957626263909175,0.666,LH,0
Twifo Heman Lower Denkyira,0.00016813665211400095,0.999,LL,0
Upper Denkyira East Municipal,-0.04725451984342106,0.397,LH,0
Upper Denkyira West,-0.09358930177245113,0.642,LH,0
Abuakwa North Municipal,-0.6307066586396988,0.195,HL,0
Abuakwa South Municipal,-0.5121502113011193,0.096,HL,0
Achiase,-0.08083478571857146,0.821,HL,0
Akwapim North Municipal,-0.5184545388039563,0.18,HL,0
Akwapim South Municipal,-0.3960333979305083,0.388,HL,0
Akyemansa,-0.3964573801341408,0.122,HL,0
Asene Manso Akroso,-0.19344147929258587,0.384,HL,0
Asuogyaman,0.36390637415491567,0.412,HH,0
Atiwa East,-0.3865997632164746,0.226,HL,0
Atiwa West,-0.3153814171532836,0.236,HL,0
Ayensuano,-0.1523241710662995,0.132,HL,0
Birim Central Municipal,-0.37707470592652176,0.509,HL,0
Birim North,-0.5393124350035792,0.226,HL,0
Birim South,-0.23055995285620282,0.453,HL,0
Denkyembuor,-0.4883205047552342,0.189,HL,0
Fanteakwa North,0.018741387996895103,0.922,HH,0
