district_geojson,district_ms,match_method
ADENTA MUNICIPAL,Adentan Municipal,manual
LEDZOKUKU MUNICIPAL,Ledzokuku Municipal,title_case
CHEREPONI,Chereponi,title_case
WA EAST,Wa East,title_case
WA MUNICIPAL,Wa Municipal,title_case
SABOBA,Saboba,title_case
JIRAPA,Jirapa Municipal,manual
GUSHEGU,Gushegu Municipal,manual
SISSALA WEST,Sissala West,title_case
NANUMBA NORTH,Nanumba North Municipal,manual
LAMBUSSIE-KARNI,Lambussie Karni,manual
BOLGATANGA MUNICIPAL,Bolgatanga Municipal,title_case
NANUMBA SOUTH,Nanumba South,title_case
WENCHI MUNICIPAL,Wenchi Municipal,title_case
BONGO,Bongo,title_case
TANO SOUTH MUNICIPAL,Tano South Municipal,title_case
KASENA NANKANA WEST,Kasena Nankana West,title_case
WA WEST,Wa West,title_case
SUNYANI MUNICIPAL,Sunyani Municipal,title_case
SAWLA-TUNA-KALBA,Sawla Tuna Kalba,manual
ASANTE AKIM SOUTH,Asante Akim South Municipal,manual
SISSALA EAST,Sissala East Municipal,manual
ADA EAST,Ada East,title_case
SHAI OSUDOKU,Shai-Osudoku,manual
KASENA NANKANA EAST,Kasena Nankana Municipal,manual
ADA WEST,Ada West,title_case
BUNKPURUGU NAKPANDURI,Bunkpurugu Nakpanduri,title_case
GARU,Garu,title_case
NINGO/PRAMPRAM,Ningo-Prampram,manual
EAST MAMPRUSI,East Mamprusi Municipal,manual
LA DADE-KOTOPON,La Dade-Kotopon Municipal,manual
BAWKU WEST,Bawku West,title_case
AOWIN,Aowin Municipal,manual
DORMAA EAST,Dormaa East,title_case
SUAMAN,Suaman,title_case
BEREKUM EAST MUNICIPAL,Berekum East Municipal,title_case
BIA EAST,Bia East,title_case
JAMAN SOUTH MUNICIPAL,Jaman South,manual
BIA WEST,Bia West,title_case
SUNYANI WEST,Sunyani West Municipal,manual
ASUNAFO NORTH MUNICIPAL,Asunafo North Municipal,title_case
BODI,Bodi,title_case
JUABOSO,Juaboso,title_case
NKORANZA NORTH,Nkoranza North,title_case
KINTAMPO SOUTH,Kintampo South,title_case
SHAMA,Shama,title_case
TANO NORTH MUNICIPAL,Tano North Municipal,title_case
WASSA EAST,Wassa East,title_case
KETU NORTH,Ketu North Municipal,manual
MPOHOR,Mpohor,title_case
WASSA AMENFI WEST,Wassa Amenfi West Municipal,manual
KETU SOUTH,Ketu South Municipal,manual
WASSA AMENFI CENTRAL,Wassa Amenfi Central,title_case
KETA MUNICIPAL,Keta Municipal,title_case
KADJEBI,Kadjebi,title_case
MFANTSEMAN MUNICIPAL,Mfantsiman Municipal,manual
SOUTH TONGU,South Tongu,title_case
EKUMFI,Ekumfi,title_case
TWIFO HEMANG LOWER DENKYIRA,Twifo Heman Lower Denkyira,manual
JASIKAN,Jasikan Municipal,manual
TWIFO ATTI-MORKWA,Twifo Ati Morkwa,manual
KRACHI EAST MUNICIPAL,Krachi East Municipal,title_case
AWUTU SENYA,Awutu Senya West,manual
NKWANTA SOUTH MUNICIPAL,Nkwanta South Municipal,title_case
AWUTU SENYA EAST,Awutu Senya East Municipal,manual
AFIGYA KWABRE SOUTH,Afigya Kwabre South,title_case
LA-NKWANTANANG-MADINA,La Nkwantanang Madina Municipal,manual
ATWIMA KWANWOMA,Atwima Kwanwoma,title_case
SEKYERE SOUTH,Sekyere South,title_case
GA EAST,Ga East Municipal,manual
AYAWASO WEST,Ayawaso West Municipal,manual
SEKYERE EAST,Sekyere East,title_case
GA SOUTH MUNICIPAL,Ga South Municipal,title_case
GA WEST MUNICIPAL,Ga West Municipal,title_case
SEKYERE CENTRAL,Sekyere Central,title_case
GA CENTRAL MUNICIPAL,Ga Central Municipal,title_case
OFFINSO NORTH,Offinso North,title_case
KRACHI WEST,Krachi West Municipal,manual
OFFINSO MUNICIPAL,Offinso Municipal,title_case
OBUASI MUNICIPAL,Obuasi Municipal,title_case
KRACHI NCHUMURU,Krachi Nchumuru,title_case
KWABRE EAST,Kwabre East,title_case
AGOTIME ZIOPE,Agortime-Ziope,manual
ADAKLU,Adaklu,title_case
EJURA-SEKYEDUMASE,Ejura Sekyedumase Municipal,manual
ATWIMA NWABIAGYA SOUTH,Atwima Nwabiagya South Municipal,manual
AKATSI SOUTH,Akatsi South Municipal,manual
ATWIMA MPONUA,Atwima Mponua,title_case
AKATSI NORTH,Akatsi North,title_case
HO MUNICIPAL,Ho Municipal,title_case
ADANSI SOUTH,Adansi South,title_case
HOHOE MUNICIPAL,Hohoe Municipal,title_case
ADANSI ASOKWA,Adansi Asokwa,title_case
HO WEST,Ho West,title_case
BOSOME FREHO,Bosome Freho,title_case
AFADZATO SOUTH,Afadzato South,title_case
AHAFO ANO SOUTH EAST,Ahafo Ano South East,title_case
NORTH DAYI,North Dayi,title_case
BEKWAI MUNICIPAL,Bekwai Municipal,title_case
KPANDO MUNICIPAL,Kpando Municipal,title_case
BOSOMTWE,Bosomtwi,manual
NORTH TONGU,North Tongu,title_case
CENTRAL TONGU,Central Tongu,title_case
MAMPONG MUNICIPAL,Mampong Municipal,title_case
AJUMAKO-ENYAN-ESSIAM,Ajumako Enyan Essiam,manual
GOMOA WEST,Gomoa West,title_case
AGONA WEST MUNICIPAL,Agona West Municipal,title_case
AGONA EAST,Agona East,title_case
ASSIN NORTH,Assin North,title_case
ASSIN SOUTH,Assin South,title_case
ASIKUMA-ODOBEN-BRAKWA,Asikuma Odoben Brakwa,manual
EFFUTU MUNICIPAL,Effutu Municipal,title_case
GOMOA EAST,Gomoa East,title_case
ABURA-ASEBU-KWAMANKESE,Abura Asebu Kwamankese,manual
JOMORO,Jomoro Municipal,manual
ELLEMBELLE,Ellembelle,title_case
DORMAA MUNICIPAL,Dormaa Central Municipal,manual
DORMAA WEST,Dormaa West,title_case
NADOWLI-KALEO,Nadowli Kaleo,manual
PRESTEA/HUNI VALLEY,Prestea/Huni Valley Municipal,manual
AHANTA WEST MUNICIPAL,Ahanta West Municipal,title_case
DAFFIAMA BUSSIE ISSA,Daffiama Bussie Issa,title_case
NZEMA EAST,Nzema East Municipal,manual
LAWRA,Lawra Municipal,manual
NANDOM,Nandom,title_case
TARKWA NSUAEM,Tarkwa-Nsuaem Municipal,manual
TALENSI,Talensi,title_case
SEFWI AKONTOMBRA,Sefwi Akontombra,title_case
EFFIA KWESIMINTSIM MUNICIPAL,Effia Kwesimintsim Municipal,title_case
NABDAM,Nabdam,title_case
BUILSA SOUTH,Builsa South,title_case
BUILSA NORTH,Builsa North Municipal,manual
BINDURI,Binduri,title_case
PUSIGA,Pusiga,title_case
BAWKU MUNICIPAL,Bawku Municipal,title_case
NORTH GONJA,North Gonja,title_case
WEST GONJA,West Gonja,title_case
MION,Mion,title_case
YENDI MUNICIPAL,Yendi Municipal,title_case
TOLON,Tolon,title_case
KUMBUNGU,Kumbungu,title_case
WEST MAMPRUSI MUNICIPAL,West Mamprusi Municipal,title_case
MAMPRUGU MOAGDURI,Mamprugu Moagduri,title_case
ZABZUGU,Zabzugu,title_case
TATALE SANGULI,Tatale Sanguli,title_case
SENE EAST,Sene East,title_case
BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,Bibiani Anhwiaso Bekwai Municipal,manual
SENE WEST,Sene West,title_case
UPPER DENKYIRA EAST MUNICIPAL,Upper Denkyira East Municipal,title_case
