district,Gi_star,p_perm,hotspot_class
Asunafo North Municipal,0.8753128847766924,0.37,Not significant
Asunafo South,0.6631321836143819,0.489,Not significant
Asutifi North,1.7132567218380002,0.076,Not significant
Asutifi South,1.14499107972575,0.239,Not significant
Tano North Municipal,1.5756826094395442,0.112,Not significant
Tano South Municipal,0.8934944836053527,0.388,Not significant
Adansi Asokwa,1.1680334387030147,0.235,Not significant
Adansi North,1.6628494776541645,0.092,Not significant
Adansi South,0.10294757197019637,0.925,Not significant
Afigya Kwabre North,1.4323894114105895,0.13,Not significant
Afigya Kwabre South,2.4470400947576083,0.015,Hotspot
Ahafo Ano North Municipal,0.9562605313488886,0.356,Not significant
Ahafo Ano South East,1.4886628006859897,0.13,Not significant
Ahafo Ano South West,1.0205033748380368,0.327,Not significant
Akrofuom,0.6353395837550952,0.527,Not significant
Amansie Central,1.1387829464648789,0.258,Not significant
Amansie South,0.6950993739358436,0.503,Not significant
Amansie West,1.5720573319239155,0.121,Not significant
Asante Akim Central Municipal,1.7579570593947327,0.067,Not significant
Asante Akim North Municipal,1.1594595318093786,0.269,Not significant
Asante Akim South Municipal,1.0469025225776363,0.285,Not significant
Asokore Mampong Municipal,2.4767730594324022,0.013,Hotspot
Asokwa Municipal,2.37225837168825,0.017,Hotspot
Atwima Kwanwoma,2.01779297533919,0.038,Hotspot
Atwima Mponua,1.2604216080622552,0.199,Not significant
Atwima Nwabiagya North,1.9857988952332593,0.047,Hotspot
Atwima Nwabiagya South Municipal,2.2165751746054254,0.03,Hotspot
Bekwai Municipal,1.60414878363087,0.099,Not significant
Bosome Freho,1.8097583038051042,0.065,Not significant
Bosomtwi,2.270440027229837,0.024,Hotspot
Ejisu Municipal,2.3428759067078095,0.025,Hotspot
Ejura Sekyedumase Municipal,1.0393325089414016,0.295,Not significant
Juaben Municipal,2.091363585885246,0.025,Hotspot
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",2.836818689224084,0.005,Hotspot
Kwabre East,2.379056264378666,0.015,Hotspot
Kwadaso Municipal,2.592685019256072,0.01,Hotspot
Mampong Municipal,1.0424408291499674,0.309,Not significant
Obuasi East,1.4249814805184526,0.155,Not significant
Obuasi Municipal,1.5254778839604262,0.104,Not significant
Offinso Municipal,1.5101945325668087,0.131,Not significant
Offinso North,1.3610084787329526,0.173,Not significant
Oforikrom Municipal,2.494672243163313,0.02,Hotspot
Old Tafo Municipal,2.474458743458091,0.013,Hotspot
Sekyere Afram Plains,-0.23411374162214005,0.829,Not significant
Sekyere Central,0.35277130551999913,0.737,Not significant
Sekyere East,1.7408105937786469,0.075,Not significant
Sekyere Kumawu,1.0580252096827452,0.311,Not significant
Sekyere South,2.1416736782412604,0.019,Hotspot
Suame Municipal,2.7094344095555085,0.007,Hotspot
Banda,0.13850702051029773,0.872,Not significant
Berekum East Municipal,2.2478792602007234,0.024,Hotspot
Berekum West,1.9955310977640013,0.049,Hotspot
Dormaa Central Municipal,1.8494086060544157,0.063,Not significant
Dormaa East,2.2559561508611146,0.025,Hotspot
Dormaa West,0.8166652056278172,0.402,Not significant
Jaman North,1.6090797684722429,0.089,Not significant
Jaman South,2.0483787560857656,0.043,Hotspot
Sunyani Municipal,1.661452310067709,0.088,Not significant
Sunyani West Municipal,2.0569830289970454,0.034,Hotspot
Tain,1.6780243220444186,0.083,Not significant
Wenchi Municipal,1.10538102201737,0.271,Not significant
Atebubu Amantin Municipal,-0.4845799979568251,0.658,Not significant
Kintampo North Municipal,-2.9001996147676445,0.013,Coldspot
Kintampo South,-0.5026933054532164,0.623,Not significant
Nkoranza North,0.24636238820649062,0.785,Not significant
Nkoranza South Municipal,0.6171139134975286,0.556,Not significant
Pru East,-2.424768847585507,0.018,Coldspot
Pru West,-1.1828962316967118,0.251,Not significant
Sene East,-4.42284366997569,0.001,Coldspot
Sene West,-1.9279246383292703,0.047,Coldspot
Techiman Municipal,1.0383448020634687,0.32,Not significant
Techiman North,0.6073561128391899,0.525,Not significant
Abura Asebu Kwamankese,-0.7450931372380983,0.477,Not significant
Agona East,-0.6229609800034855,0.565,Not significant
Agona West Municipal,-0.7471106919720094,0.483,Not significant
Ajumako Enyan Essiam,-1.1652589137857958,0.257,Not significant
Asikuma Odoben Brakwa,-0.9116262345003614,0.365,Not significant
Assin Central Municipal,-0.8047785521663842,0.441,Not significant
Assin North,-0.45522406526102965,0.668,Not significant
Assin South,-0.9937645508246643,0.321,Not significant
Awutu Senya West,-0.3063175120940176,0.762,Not significant
Awutu Senya East Municipal,0.01761600629877232,0.982,Not significant
Cape Coast Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,-0.606727134852177,0.548,Not significant
Effutu Municipal,-0.1987678814162341,0.854,Not significant
Ekumfi,-1.0152102238797172,0.325,Not significant
Gomoa Central,-0.5106476313204552,0.635,Not significant
Gomoa East,-0.48889911367830546,0.648,Not significant
Gomoa West,-0.9916849463478457,0.295,Not significant
Komenda Edina Eguafo Abirem Municipal,-1.1815066609524723,0.228,Not significant
Mfantsiman Municipal,-0.8987422336852355,0.378,Not significant
Twifo Ati Morkwa,-1.8333735411755492,0.059,Not significant
Twifo Heman Lower Denkyira,-1.2488484611154105,0.209,Not significant
Upper Denkyira East Municipal,-1.0629474710905962,0.295,Not significant
Upper Denkyira West,-0.08133148347778842,0.949,Not significant
