district,region,intercept,working_age_prop,female_pop_prop,women_edu_secondary,women_literacy,no_insurance_women,women_anemia,wife_beating_justified,decision_autonomy,ipv_12months,Local_R2,latitude,longitude
Asunafo North Municipal,Ahafo,67.85308715256295,1.642745919581461,2.880984494485471,-9.841135307836382,2.439386072836941,4.386458667817043,-13.576122414541583,-27.091379178443354,-6.826982898996003,-0.7687427918369379,0.6849776237144657,6.81509969999999,-2.67736640122449
Asunafo South,Ahafo,56.93716509837113,0.01525041343237582,4.1772385360233955,23.31809552059418,-4.682122861709782,4.553008089530731,-11.719488067206958,-3.4204814557105525,-0.7235941255358161,2.2075612319109794,0.7118448816864504,6.56280465,-2.53279356335542
Asutifi North,Ahafo,64.9076945216559,5.281891920363332,1.8809583548849598,9.595872753172095,-10.862683715946055,0.6729073423441339,-3.15201136969569,-15.193982879017456,-0.1724971850596269,-0.6074307372575373,0.787587226273877,7.07651835,-2.52531850396715
Asutifi South,Ahafo,65.83307758426595,3.955538460181014,2.6387916124068136,9.13098478163671,-10.839016009437037,1.712155593257989,-3.8308066027779706,-14.263529112851964,0.507080086567404,-0.34735017775356364,0.7357455688428158,6.84924284999999,-2.46125343688365
Tano North Municipal,Ahafo,57.61384824599167,5.818776329873925,1.9336325413915052,12.656049373154957,-13.636901648500714,-10.06645976364257,1.5847140976736709,-22.74518608340815,-7.729168294187014,-4.700456253344399,0.8561863703663085,7.19329065,-2.2080833699397
Tano South Municipal,Ahafo,56.534343112500665,5.237214052128326,2.3403632842307758,12.375218048906989,-14.348316013002766,-9.296007614132693,-0.09176362953843231,-20.56820528621317,-9.792248843617948,-6.331324783328098,0.8354584067672761,7.16093674999999,-1.99681708617696
Adansi Asokwa,Ashanti,52.55860805652651,5.3477672960126075,3.8052816590856673,19.662357499670474,-1.5557560943281672,9.820101969383293,-7.487124576766636,-6.431856963790835,-9.10137764291024,-9.677137464467943,0.910532053319018,6.2467263,-1.50841
Adansi North,Ashanti,52.91555668407864,4.892208710123553,3.878526178599439,19.74344681824536,-1.552650334936466,9.844500264501686,-7.357571762619326,-6.6180925598373435,-9.080907048110884,-9.72369066755369,0.9129245038843976,6.3006124,-1.5897139446089
Adansi South,Ashanti,39.244655949712985,7.237690349429645,3.060367485166438,24.735609608783527,15.01208505166652,7.576554854946799,-15.839532504645778,-9.3217203164801,-2.3496281628853595,-7.5175205208777145,0.9405785072615297,6.00427495,-1.39314032189093
Afigya Kwabre North,Ashanti,52.4867891507932,4.638026823440498,3.2030359268815882,15.889807691119852,-21.46475445168272,-2.121267975930232,-7.436363011910464,-3.507337856994887,-13.70578773570407,-12.84945292711764,0.7805146155397142,7.03891495,-1.62667127242319
Afigya Kwabre South,Ashanti,66.22537441798161,4.324896278961253,3.549920200341937,4.116660423505297,-7.540775270016415,4.8104106364563,-8.584478131225607,-12.58422171831971,-1.2517302276805484,-1.375827133818905,0.7725881992165438,6.83998064999999,-1.60957900170106
Ahafo Ano North Municipal,Ashanti,65.8255784172568,4.438734046444818,2.9551541002905037,9.2904094672102,-10.76059852631436,2.0951660136342234,-4.138950940516626,-13.8730291866618,0.07385041245286939,-0.41626916447105344,0.8083046628849835,6.90966445,-2.23301229669742
Ahafo Ano South East,Ashanti,56.43205926970439,4.270144767101659,3.1450152465674837,12.289092376391661,-14.406457926186139,-9.511405341762607,-0.4120158614465339,-20.422409575473175,-9.626768620866493,-6.496806793269922,0.8043020103614491,6.94633355,-1.90095355028736
Ahafo Ano South West,Ashanti,66.16813160333754,3.931084232950931,3.4926877937655867,8.835978738128663,-10.72015002287322,3.5849260626196404,-5.542338242026656,-12.028685883814491,0.1291859395626327,-0.7032373809240422,0.8203210878578948,6.8289788,-2.00038660056909
Akrofuom,Ashanti,55.00263696704775,6.441831163599037,3.476156588591838,26.63247522199504,-0.8718624574274045,-1.5285775222229319,-2.980643110998793,1.764184597680206,-8.862499515151788,0.04431457419095608,0.9547627563909449,6.03262245,-1.67136425707588
Amansie Central,Ashanti,54.98540627131553,4.867620496213261,3.7886478255253704,21.0724826775998,-3.5480803011025905,4.490488881735701,-10.302611401927962,-5.949660580222197,-5.504648816594244,-0.13017679985643227,0.9433985205104711,6.20744165,-1.82814118592735
