district,region,Local_R2,latitude,longitude
Asunafo North Municipal,Ahafo,0.6849776237144657,6.81509969999999,-2.67736640122449
Asunafo South,Ahafo,0.7118448816864504,6.56280465,-2.53279356335542
Asutifi North,Ahafo,0.787587226273877,7.07651835,-2.52531850396715
Asutifi South,Ahafo,0.7357455688428158,6.84924284999999,-2.46125343688365
Tano North Municipal,Ahafo,0.8561863703663085,7.19329065,-2.2080833699397
Tano South Municipal,Ahafo,0.8354584067672761,7.16093674999999,-1.99681708617696
Adansi Asokwa,Ashanti,0.910532053319018,6.2467263,-1.50841
Adansi North,Ashanti,0.9129245038843976,6.3006124,-1.5897139446089
Adansi South,Ashanti,0.9405785072615297,6.00427495,-1.39314032189093
Afigya Kwabre North,Ashanti,0.7805146155397142,7.03891495,-1.62667127242319
Afigya Kwabre South,Ashanti,0.7725881992165438,6.83998064999999,-1.60957900170106
Ahafo Ano North Municipal,Ashanti,0.8083046628849835,6.90966445,-2.23301229669742
Ahafo Ano South East,Ashanti,0.8043020103614491,6.94633355,-1.90095355028736
Ahafo Ano South West,Ashanti,0.8203210878578948,6.8289788,-2.00038660056909
Akrofuom,Ashanti,0.9547627563909449,6.03262245,-1.67136425707588
Amansie Central,Ashanti,0.9433985205104711,6.20744165,-1.82814118592735
Amansie South,Ashanti,0.937793278452522,6.30802585,-2.01186652006877
Amansie West,Ashanti,0.9116959332058935,6.43975084999999,-1.85237045719587
Asante Akim Central Municipal,Ashanti,0.7591292178755716,6.56465915,-1.25347851347396
Asante Akim North Municipal,Ashanti,0.8453919603134477,6.906722,-0.958978
Asante Akim South Municipal,Ashanti,0.7353940088602693,6.46141735,-1.11533920112058
Asokore Mampong Municipal,Ashanti,0.7858768418437442,6.7077852,-1.5665013
Asokwa Municipal,Ashanti,0.7987879157069027,6.6739843,-1.6026178
Atwima Kwanwoma,Ashanti,0.8277350670228119,6.65,-1.73333
Atwima Mponua,Ashanti,0.8826540460131579,6.5558963,-2.17659077213842
Atwima Nwabiagya North,Ashanti,0.788137925763015,6.87764335,-1.74489585317473
Atwima Nwabiagya South Municipal,Ashanti,0.8213854954885618,7.0689359,-2.0226618
Bekwai Municipal,Ashanti,0.8735312458371416,6.43631235,-1.59282285301503
Bosome Freho,Ashanti,0.8492505586340251,6.3681227,-1.36632312680072
Bosomtwi,Ashanti,0.7477777842366944,6.1777503,-0.1969922
Ejisu Municipal,Ashanti,0.7648031914190664,6.7139918,-1.4665782
Ejura Sekyedumase Municipal,Ashanti,0.8459869885820187,7.38567515,-1.39945747215309
Juaben Municipal,Ashanti,0.7123635065105063,6.0721368,-0.260652306105858
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,0.7974190448568186,6.698152,-1.621229
Kwabre East,Ashanti,0.7651788724358602,6.7897864,-1.53792852576917
Kwadaso Municipal,Ashanti,0.8105461892084102,6.68059249999999,-1.67467000057054
Mampong Municipal,Ashanti,0.7764410074487141,7.056139,-1.40425
