district,local_I,z_local_I,p_perm,quadrant,significant
Asunafo North Municipal,0.1284834270543633,-0.4955728643931467,0.501,HH,0
Asunafo South,0.006324548123429,-0.5807524969456093,0.957,HH,0
Asutifi North,0.284466193906824,-0.386808320372397,0.292,HH,0
Asutifi South,0.1453391720519503,-0.4838195953892275,0.45,HH,0
Tano North Municipal,0.303682162663107,-0.3734093012251666,0.258,HH,0
Tano South Municipal,0.1541674458922546,-0.4776637667800374,0.53,HH,0
Adansi Asokwa,0.0858270326086343,-0.5253165558603414,0.66,HH,0
Adansi North,0.4525199570297838,-0.2696268439447561,0.189,HH,0
Adansi South,0.0009292231541587,-0.5845145795908127,0.998,HH,0
Afigya Kwabre North,0.3721581014081074,-0.3256620121862604,0.286,HH,0
Afigya Kwabre South,0.7922012242491205,-0.0327719728137228,0.039,HH,1
Ahafo Ano North Municipal,0.2120925542192651,-0.437273420322733,0.471,HH,0
Ahafo Ano South East,0.2012789759367071,-0.4448135732182613,0.419,HH,0
Ahafo Ano South West,0.1263956838743452,-0.4970286177407064,0.59,HH,0
Akrofuom,0.0382685281578188,-0.5584784182588615,0.804,HH,0
Amansie Central,0.1594078318734307,-0.4740097208669113,0.44,HH,0
Amansie South,0.0600252978501844,-0.5433077350949137,0.755,HH,0
Amansie West,0.1904501964278693,-0.4523643257106441,0.419,HH,0
Asante Akim Central Municipal,0.5543305216243223,-0.198635798856461,0.108,HH,0
Asante Akim North Municipal,0.2372556985921476,-0.4197275209963441,0.416,HH,0
Asante Akim South Municipal,0.2361172387004756,-0.4205213527349536,0.417,HH,0
Asokore Mampong Municipal,0.9477142821761122,0.0756650499164895,0.055,HH,0
Asokwa Municipal,1.2151792320403827,0.2621645197010976,0.029,HH,1
Atwima Kwanwoma,0.7288505370897905,-0.0769454975006071,0.084,HH,0
Atwima Mponua,0.2110122059731374,-0.4380267316451615,0.315,HH,0
Atwima Nwabiagya North,0.7314809239481381,-0.0751113665063995,0.091,HH,0
Atwima Nwabiagya South Municipal,0.7170712521095584,-0.0851590238126338,0.072,HH,0
Bekwai Municipal,0.4364135051480308,-0.2808576416159374,0.165,HH,0
Bosome Freho,0.1299533753689146,-0.4945478905361471,0.471,HH,0
Bosomtwi,0.7251254643198825,-0.0795429372655164,0.073,HH,0
Ejisu Municipal,0.7602929956508637,-0.0550211225373065,0.055,HH,0
Ejura Sekyedumase Municipal,0.1147974073564562,-0.5051159294505183,0.532,HH,0
Juaben Municipal,0.5765071432304476,-0.1831723589804881,0.128,HH,0
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",1.124658039746273,0.199045391846442,0.024,HH,1
Kwabre East,0.8615473709387278,0.0155820997321583,0.055,HH,0
Kwadaso Municipal,1.1407648371764874,0.2102764304636043,0.029,HH,1
Mampong Municipal,0.2721532881661856,-0.3953939327799376,0.396,HH,0
Obuasi East,0.540646319436006,-0.2081775965904873,0.16,HH,0
Obuasi Municipal,0.611476412114369,-0.1587887898103359,0.132,HH,0
Offinso Municipal,0.32202778255959,-0.3606171638430523,0.262,HH,0
Offinso North,0.1042619836080003,-0.5124621291826339,0.572,HH,0
Oforikrom Municipal,1.0521640863751072,0.1484963988917629,0.048,HH,1
Old Tafo Municipal,1.0162311479887192,0.1234408768120843,0.041,HH,1
Sekyere Afram Plains,0.0056194805013343,-0.581244130476469,0.965,LL,0
Sekyere Central,-0.0019558573119206,-0.5865263047812826,0.993,LH,0
Sekyere East,0.5725136668366698,-0.1859569527390903,0.11,HH,0
Sekyere Kumawu,0.2097184164305049,-0.4389288725194565,0.397,HH,0
Sekyere South,0.5122362363690546,-0.2279875396548474,0.1,HH,0
Suame Municipal,1.06245643005841,0.1556731023841309,0.034,HH,1
Banda,0.0051694669144239,-0.5815579184901778,0.967,HH,0
Berekum East Municipal,0.8432727779991496,0.0028394884274231,0.05,HH,0
Berekum West,0.7866485948418249,-0.0366437415852817,0.105,HH,0
Dormaa Central Municipal,0.5539533887478841,-0.198898768197041,0.123,HH,0
Dormaa East,0.6721688453884543,-0.1164688273954524,0.088,HH,0
Dormaa West,0.2023760821296166,-0.4440485768201207,0.517,HH,0
Jaman North,0.6036511696313159,-0.1642452190537414,0.127,HH,0
Jaman South,0.8009500946144651,-0.0266715111076972,0.107,HH,0
Sunyani Municipal,0.7027198757948707,-0.095166032486955,0.111,HH,0
Sunyani West Municipal,0.5531841815948232,-0.1994351253020493,0.08,HH,0
Tain,0.3736995206739528,-0.3245872026609681,0.235,HH,0
Wenchi Municipal,0.2074123238748748,-0.4405368777519833,0.415,HH,0
Atebubu Amantin Municipal,0.0292040387569607,-0.5647989565872896,0.852,LL,0
Kintampo North Municipal,0.1544690089756158,-0.4774534911712819,0.515,LL,0
Kintampo South,0.00935089255347,-0.5786422704210697,0.934,LL,0
