region_left_out,n_test,accuracy,macro_f1
Ahafo,6,0.5,0.2222222222222222
Ashanti,43,0.6744186046511628,0.5492222728884836
Bono,12,0.75,0.7333333333333334
Bono East,11,0.5454545454545454,0.25
Central,22,0.09090909090909091,0.06666666666666667
Eastern,33,0.696969696969697,0.4665379665379666
Greater Accra,29,0.6896551724137931,0.4481481481481482
North East,6,1.0,1.0
Northern,16,1.0,1.0
Oti,9,1.0,1.0
Savannah,7,1.0,1.0
Upper East,15,0.0,0.0
Upper West,11,0.45454545454545453,0.20833333333333334
Volta,18,0.8888888888888888,0.603988603988604
Western,14,0.0,0.0
Western North,9,0.3333333333333333,0.26666666666666666
