district,composite_maternal_index,spatial_lag_composite
Asunafo North Municipal,73.66579084175778,70.61765661979962
Asunafo South,65.98677162523927,72.60794026571492
Asutifi North,73.10641376486053,76.42939095065748
Asutifi South,72.01031050672952,71.90124128474767
Tano North Municipal,75.46572619888471,78.27442643105408
Tano South Municipal,72.50096810510675,76.22975833005827
Adansi Asokwa,68.81663207093827,75.27401929267711
Adansi North,79.06732225521085,79.90511734347143
Adansi South,69.38001216731104,69.48907335625688
Afigya Kwabre North,75.78275869260456,79.81646896644327
Afigya Kwabre South,82.38316744737558,83.45121244211649
Ahafo Ano North Municipal,75.13426819428582,72.68699227784111
Ahafo Ano South East,71.67521959758413,82.98803841298898
Ahafo Ano South West,70.77096430064346,73.6331898293554
Akrofuom,68.84192571653878,75.95201826864678
Amansie Central,72.78048564196399,78.88831101028524
Amansie South,69.22825919717705,69.70777800410454
Amansie West,70.96288782575284,82.24830708379369
Asante Akim Central Municipal,81.6227306562528,78.87129129655857
Asante Akim North Municipal,74.81775793616767,74.18163170808856
Asante Akim South Municipal,74.97387420436019,78.01257625567567
Asokore Mampong Municipal,82.23309864375211,84.86776285133523
Asokwa Municipal,86.86841789567255,82.98253654195533
Atwima Kwanwoma,81.91436254432529,81.8755041654918
Atwima Mponua,75.71296101882214,71.65225609719651
Atwima Nwabiagya North,82.42077673460682,78.57374312280335
Atwima Nwabiagya South Municipal,82.71527075221528,80.79753205894285
Bekwai Municipal,79.19598766253047,78.19978837432808
Bosome Freho,69.22641098438002,76.12013979669052
Bosomtwi,80.85458087202332,84.00435567186548
Ejisu Municipal,82.57654306042947,81.00982852968215
Ejura Sekyedumase Municipal,72.03420738478347,69.84296276519375
Juaben Municipal,77.22263950284464,82.17817939531498
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",84.50310356443806,84.50732269328773
Kwabre East,83.19096745847834,81.88881702295677
Kwadaso Municipal,85.16760737610373,84.42970568054854
Mampong Municipal,77.32359705396165,72.97692251297248
Obuasi East,83.42233176380651,76.2278494798246
Obuasi Municipal,84.22166430558478,76.02801634438003
Offinso Municipal,75.80364672849542,79.81124695747054
Offinso North,69.5346455678241,73.10690335743058
Oforikrom Municipal,84.33936308760781,83.61480024397152
Old Tafo Municipal,83.76016685762251,83.38807709333099
Sekyere Afram Plains,55.8375149399326,67.01125967572288
Sekyere Central,65.43243901920664,75.00211459932808
Sekyere East,80.71210841860001,79.70576151103799
Sekyere Kumawu,75.83289602239954,74.54623621920473
Sekyere South,78.65828495529524,79.29013508173847
Suame Municipal,84.43293871775825,83.95351131138497
Banda,69.48577936817424,74.1294471505876
Berekum East Municipal,84.25095984293695,80.73047368413292
Berekum West,81.44105415310241,81.35821562619644
Dormaa Central Municipal,80.37913814400486,77.55449223302341
Dormaa East,79.66232431013776,79.7943914762262
Dormaa West,76.0081767039929,72.12426706355967
Jaman North,81.74678078802586,77.47110908464435
Jaman South,81.1404402077062,81.77527977355075
Sunyani Municipal,84.78439335923849,75.43779603360932
Sunyani West Municipal,80.67807606558529,79.70544417429062
Tain,75.00725691976004,80.41646399826708
Wenchi Municipal,74.99003929652022,71.41552882537461
Atebubu Amantin Municipal,62.54950369482578,52.34424977774641
Kintampo North Municipal,63.64997860219337,52.94166445341516
Kintampo South,64.77371159804423,71.83669480954813
Nkoranza North,66.47559315797815,69.62714757501202
Nkoranza South Municipal,70.14022182962856,70.59128585167201
Pru East,60.88752674202996,52.75974401594537
Pru West,55.42830895756954,55.14743352771269
Sene East,51.69326050915922,61.4347460240119
Sene West,62.38405289536926,57.74195147148689
Techiman Municipal,74.32069729610234,71.55633904539118
Techiman North,71.56044948759182,70.90477343962272
Abura Asebu Kwamankese,59.45868272007626,61.53308454930385
Agona East,57.14995579502261,63.281178399856486
Agona West Municipal,62.78503976462648,58.977892063471515
Ajumako Enyan Essiam,58.70325007273042,56.83522355902627
Asikuma Odoben Brakwa,59.39752279693017,62.72434835286316
Assin Central Municipal,65.10545500041187,61.49658111489944
Assin North,55.960254669015605,71.91621846319914
Assin South,59.75880554773856,58.843561890852094
Awutu Senya West,56.5543958116017,64.8820758134901
Awutu Senya East Municipal,66.36599914297891,65.62338141410686
Cape Coast Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,68.72380555711509,58.19352089397077
Effutu Municipal,64.22608602271374,61.655389731811844
Ekumfi,52.189127346783934,58.83724107186414
Gomoa Central,60.8914701223352,58.94482575785774
Gomoa East,64.02225877619784,61.07410919307924
Gomoa West,55.34183088573543,58.64222182661901
Komenda Edina Eguafo Abirem Municipal,58.29286936071437,59.59927247358519
Mfantsiman Municipal,60.41241320665552,59.768716424176425
Twifo Ati Morkwa,56.19999155448332,55.951485700747924
Twifo Heman Lower Denkyira,54.61011828843693,54.64580760733514
Upper Denkyira East Municipal,63.38359136323181,73.17147833510334
Upper Denkyira West,57.2467605925275,68.13954114477649
Abuakwa North Municipal,82.61578657001351,81.3543806788507
Abuakwa South Municipal,79.75545492457164,81.79129906541507
Achiase,74.0672726883603,74.45221363223945
Akwapim North Municipal,81.35887633382727,80.90016775607518
Akwapim South Municipal,79.42166264187918,79.58619903447055
Akyemansa,76.1130987161189,76.52219841066251
Asene Manso Akroso,75.76982294504894,79.69405473533922
Asuogyaman,79.91600724188912,74.65339105896231
Atiwa East,81.07855821492295,79.29076990185027
Atiwa West,78.35492473322422,79.64653665343803
Ayensuano,70.71697226616332,76.76598376417337
Birim Central Municipal,85.57520081802393,75.75412557962073
Birim North,80.93169383495365,79.83930006005411
Birim South,77.06630796895479,76.28389609745355
Denkyembuor,82.23119330545336,79.62926135992709
Fanteakwa North,73.71959781541297,76.79775606214179
Fanteakwa South,79.46758283240857,76.42377677572492
Kwaebibirem Municipal,80.26946954711622,81.81918590728677
Kwahu Afram Plains North,62.10662740859776,67.84450550880182
Kwahu Afram Plains South,65.41078885214799,67.04915319348049
Kwahu East,74.74908337214805,78.6087503695378
Kwahu South Municipal,75.50338705324354,78.14563441907526
Kwahu West Municipal,83.03529827381708,78.06568061881705
Lower Manya Krobo Municipal,80.26317066931463,76.6093519371131
New Juaben North Municipal,86.88213196877484,82.2447526792397
New Juaben South Municipal,87.29541623272593,80.8377356878547
Nsawam Adoagyiri Municipal,81.08601069052658,76.11090108171838
Okere,75.79758145916901,81.64485702187525
Suhum Municipal,79.31235298964772,81.16249384805894
Upper Manya Krobo,69.60426779290154,81.65686655570752
Upper West Akim,69.76301924699993,65.33096900057673
West Akim Municipal,76.90255212951926,74.62025194091639
Yilo Krobo Municipal,77.66196485163316,78.24010903852778
Ablekuma Central Municipal,77.1384698739657,76.77613125893137
Ablekuma North Municipal,78.59178643408912,76.98663422523464
Ablekuma West Municipal,77.6171426410744,77.24204528527264
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",75.20905329501242,77.11775667965324
Ada East,67.00767717506521,68.34060436038747
Ada West,59.85216187365581,69.14127987401622
Adentan Municipal,78.42938221265159,77.97080471458284
Ashaiman Municipal,78.03499360840352,77.29682295030025
Ayawaso Central Municipal,75.68654266554957,75.67751008112263
Ayawaso East Municipal,73.43707808507445,77.13818500995474
Ayawaso North Municipal,76.0350374063804,76.36958884066348
Ayawaso West Municipal,79.13871013947926,76.39666708168308
Ga Central Municipal,77.15588697951804,77.9367261069939
Ga East Municipal,78.1626942270482,78.34112058175356
Ga North Municipal,77.84956409609211,77.74857691030749
