Variable,N,Statistic,Value,Min,Max,Missing n (%)
Composite Maternal Index,261,Median [IQR],71.68 [59.31–78.03],16.09,88.15,0 (0.0%)
Sba,261,Median [IQR],91.30 [86.80–93.60],70.30,98.00,0 (0.0%)
Anc Skilled,261,Median [IQR],98.80 [96.40–99.50],92.90,100.00,0 (0.0%)
Facility Delivery,261,Median [IQR],90.70 [85.00–92.40],67.10,97.40,0 (0.0%)
Pnc Coverage,261,Median [IQR],87.90 [85.80–95.00],72.70,96.70,0 (0.0%)
Modern Cpr,261,Median [IQR],24.60 [19.00–26.90],14.80,29.80,0 (0.0%)
Unmet Need Fp,261,Median [IQR],15.20 [14.20–18.20],12.50,21.80,0 (0.0%)
Demand Fp Satisfied,261,Median [IQR],49.80 [46.80–52.40],37.90,61.70,0 (0.0%)
Abr,261,Median [IQR],62.00 [56.00–70.00],36.00,121.00,0 (0.0%)
Tfr,261,Median [IQR],3.60 [3.50–4.50],2.90,6.60,0 (0.0%)
Women Anemia,261,Median [IQR],38.80 [37.50–45.00],30.10,51.80,0 (0.0%)
Wife Beating Justified,261,Median [IQR],16.00 [12.60–21.20],5.80,57.80,0 (0.0%)
Decision Autonomy,261,Median [IQR],55.20 [43.20–63.30],38.10,71.30,0 (0.0%)
Ipv 12Months,261,Median [IQR],27.00 [24.10–34.80],18.30,46.90,0 (0.0%)
Women Edu Secondary,261,Median [IQR],76.40 [57.80–79.80],31.80,84.60,0 (0.0%)
Women Literacy,261,Median [IQR],61.50 [51.00–72.00],27.20,79.20,0 (0.0%)
No Insurance Women,261,Median [IQR],7.50 [6.70–13.40],1.50,16.50,0 (0.0%)
Poverty Rate,261,Mean (SD),27.59 (13.45),6.30,68.60,0 (0.0%)
Uninsured Rate,261,Median [IQR],30.19 [20.33–40.74],5.23,73.17,0 (0.0%)
Illiteracy Rate,261,Median [IQR],26.88 [17.87–40.52],5.41,60.84,0 (0.0%)
Working Age Prop,261,Median [IQR],59.16 [56.87–61.53],47.26,77.13,0 (0.0%)
Female Pop Prop,261,Median [IQR],50.68 [49.78–51.50],46.15,54.12,0 (0.0%)
